GeneID	Symbol	dbXrefs
158	ADSL	MIM:608222|HGNC:HGNC:291|Ensembl:ENSG00000239900|Vega:OTTHUMG00000166425
159	ADSS	MIM:103060|HGNC:HGNC:292|Ensembl:ENSG00000035687|Vega:OTTHUMG00000040102
160	AP2A1	MIM:601026|HGNC:HGNC:561|Ensembl:ENSG00000196961|Vega:OTTHUMG00000183253
161	AP2A2	MIM:607242|HGNC:HGNC:562|Ensembl:ENSG00000183020|Vega:OTTHUMG00000165627
162	AP1B1	MIM:600157|HGNC:HGNC:554|Ensembl:ENSG00000100280|Vega:OTTHUMG00000151109
163	AP2B1	MIM:601025|HGNC:HGNC:563|Ensembl:ENSG00000006125|Vega:OTTHUMG00000179924
164	AP1G1	MIM:603533|HGNC:HGNC:555|Ensembl:ENSG00000166747|Vega:OTTHUMG00000176871
165	AEBP1	MIM:602981|HGNC:HGNC:303|Ensembl:ENSG00000106624|Vega:OTTHUMG00000023362
166	AES	MIM:600188|HGNC:HGNC:307|Ensembl:ENSG00000104964|Vega:OTTHUMG00000180567
167	CRISP1	MIM:601193|HGNC:HGNC:304|Ensembl:ENSG00000124812|Vega:OTTHUMG00000014827
169	AF8T	MIM:116950|HGNC:HGNC:309
170	AFA	MIM:106250|HGNC:HGNC:310
171	AFD1	MIM:154400|HGNC:HGNC:312
172	AFG3L1P	MIM:603020|HGNC:HGNC:314|Ensembl:ENSG00000223959
173	AFM	MIM:104145|HGNC:HGNC:316|Ensembl:ENSG00000079557|Vega:OTTHUMG00000130004
174	AFP	MIM:104150|HGNC:HGNC:317|Ensembl:ENSG00000081051|Vega:OTTHUMG00000130011
175	AGA	MIM:613228|HGNC:HGNC:318|Ensembl:ENSG00000038002|Vega:OTTHUMG00000160723
176	ACAN	MIM:155760|HGNC:HGNC:319|Ensembl:ENSG00000157766|Vega:OTTHUMG00000171989
177	AGER	MIM:600214|HGNC:HGNC:320|Ensembl:ENSG00000204305|Vega:OTTHUMG00000031120
178	AGL	MIM:610860|HGNC:HGNC:321|Ensembl:ENSG00000162688|Vega:OTTHUMG00000010803
179	AGMX2	MIM:300310|HGNC:HGNC:323
181	AGRP	MIM:602311|HGNC:HGNC:330|Ensembl:ENSG00000159723|Vega:OTTHUMG00000137509
182	JAG1	MIM:601920|HGNC:HGNC:6188|Ensembl:ENSG00000101384|Vega:OTTHUMG00000031872
183	AGT	MIM:106150|HGNC:HGNC:333|Ensembl:ENSG00000135744|Vega:OTTHUMG00000037757
185	AGTR1	MIM:106165|HGNC:HGNC:336|Ensembl:ENSG00000144891|Vega:OTTHUMG00000159503
186	AGTR2	MIM:300034|HGNC:HGNC:338|Ensembl:ENSG00000180772|Vega:OTTHUMG00000022243
187	APLNR	MIM:600052|HGNC:HGNC:339|Ensembl:ENSG00000134817|Vega:OTTHUMG00000167021
189	AGXT	MIM:604285|HGNC:HGNC:341|Ensembl:ENSG00000172482|Vega:OTTHUMG00000133354
190	NR0B1	MIM:300473|HGNC:HGNC:7960|Ensembl:ENSG00000169297|Vega:OTTHUMG00000021323
191	AHCY	MIM:180960|HGNC:HGNC:343|Ensembl:ENSG00000101444|Vega:OTTHUMG00000140098
192	AIC	MIM:304050|HGNC:HGNC:350
196	AHR	MIM:600253|HGNC:HGNC:348|Ensembl:ENSG00000106546|Ensembl:ENSG00000283321|Vega:OTTHUMG00000149967|Vega:OTTHUMG00000191686
197	AHSG	MIM:138680|HGNC:HGNC:349|Ensembl:ENSG00000145192|Vega:OTTHUMG00000156605
199	AIF1	MIM:601833|HGNC:HGNC:352|Ensembl:ENSG00000204472|Vega:OTTHUMG00000031246
201	AIH3	MIM:301201|HGNC:HGNC:355
202	CRYBG1	MIM:601797|HGNC:HGNC:356|Ensembl:ENSG00000112297|Vega:OTTHUMG00000015302
203	AK1	MIM:103000|HGNC:HGNC:361|Ensembl:ENSG00000106992|Vega:OTTHUMG00000020722
204	AK2	MIM:103020|HGNC:HGNC:362|Ensembl:ENSG00000004455|Vega:OTTHUMG00000004131
205	AK4	MIM:103030|HGNC:HGNC:363|Ensembl:ENSG00000162433|Vega:OTTHUMG00000009033
206	AK4P1	HGNC:HGNC:364
207	AKT1	MIM:164730|HGNC:HGNC:391|Ensembl:ENSG00000142208|Vega:OTTHUMG00000170795
208	AKT2	MIM:164731|HGNC:HGNC:392|Ensembl:ENSG00000105221|Vega:OTTHUMG00000137375
210	ALAD	MIM:125270|HGNC:HGNC:395|Ensembl:ENSG00000148218|Vega:OTTHUMG00000020522
211	ALAS1	MIM:125290|HGNC:HGNC:396|Ensembl:ENSG00000023330|Vega:OTTHUMG00000158108
212	ALAS2	MIM:301300|HGNC:HGNC:397|Ensembl:ENSG00000158578|Vega:OTTHUMG00000021641
213	ALB	MIM:103600|HGNC:HGNC:399|Ensembl:ENSG00000163631|Vega:OTTHUMG00000129919
214	ALCAM	MIM:601662|HGNC:HGNC:400|Ensembl:ENSG00000170017|Vega:OTTHUMG00000159192
215	ABCD1	MIM:300371|HGNC:HGNC:61|Ensembl:ENSG00000101986|Vega:OTTHUMG00000024215
216	ALDH1A1	MIM:100640|HGNC:HGNC:402|Ensembl:ENSG00000165092|Vega:OTTHUMG00000020019
217	ALDH2	MIM:100650|HGNC:HGNC:404|Ensembl:ENSG00000111275|Vega:OTTHUMG00000169603
218	ALDH3A1	MIM:100660|HGNC:HGNC:405|Ensembl:ENSG00000108602|Vega:OTTHUMG00000059469
219	ALDH1B1	MIM:100670|HGNC:HGNC:407|Ensembl:ENSG00000137124|Vega:OTTHUMG00000019938
220	ALDH1A3	MIM:600463|HGNC:HGNC:409|Ensembl:ENSG00000184254|Vega:OTTHUMG00000186439
221	ALDH3B1	MIM:600466|HGNC:HGNC:410|Ensembl:ENSG00000006534|Vega:OTTHUMG00000154910
222	ALDH3B2	MIM:601917|HGNC:HGNC:411|Ensembl:ENSG00000132746|Vega:OTTHUMG00000167284
223	ALDH9A1	MIM:602733|HGNC:HGNC:412|Ensembl:ENSG00000143149|Vega:OTTHUMG00000034677
224	ALDH3A2	MIM:609523|HGNC:HGNC:403|Ensembl:ENSG00000072210|Vega:OTTHUMG00000059471
225	ABCD2	MIM:601081|HGNC:HGNC:66|Ensembl:ENSG00000173208|Vega:OTTHUMG00000169337
226	ALDOA	MIM:103850|HGNC:HGNC:414|Ensembl:ENSG00000149925|Vega:OTTHUMG00000132107
228	ALDOAP2	HGNC:HGNC:416
229	ALDOB	MIM:612724|HGNC:HGNC:417|Ensembl:ENSG00000136872|Vega:OTTHUMG00000020378
230	ALDOC	MIM:103870|HGNC:HGNC:418|Ensembl:ENSG00000109107|Vega:OTTHUMG00000132605
231	AKR1B1	MIM:103880|HGNC:HGNC:381|Ensembl:ENSG00000085662|Vega:OTTHUMG00000155322
236	AKR1B1P2	HGNC:HGNC:425
238	ALK	MIM:105590|HGNC:HGNC:427|Ensembl:ENSG00000171094|Vega:OTTHUMG00000152034
239	ALOX12	MIM:152391|HGNC:HGNC:429|Ensembl:ENSG00000108839|Vega:OTTHUMG00000102088
240	ALOX5	MIM:152390|HGNC:HGNC:435|Ensembl:ENSG00000012779|Vega:OTTHUMG00000018081
241	ALOX5AP	MIM:603700|HGNC:HGNC:436|Ensembl:ENSG00000132965|Vega:OTTHUMG00000016677
242	ALOX12B	MIM:603741|HGNC:HGNC:430|Ensembl:ENSG00000179477|Vega:OTTHUMG00000108180
243	ALOX12P1	HGNC:HGNC:431
245	ALOX12P2	HGNC:HGNC:432|Ensembl:ENSG00000262943
246	ALOX15	MIM:152392|HGNC:HGNC:433|Ensembl:ENSG00000161905|Vega:OTTHUMG00000090746
247	ALOX15B	MIM:603697|HGNC:HGNC:434|Ensembl:ENSG00000179593|Vega:OTTHUMG00000108181
