GeneID	Symbol	dbXrefs
11671	Aldh3a2	MGI:MGI:1353452|Ensembl:ENSMUSG00000010025|Vega:OTTMUSG00000005829
11674	Aldoa	MGI:MGI:87994|Ensembl:ENSMUSG00000030695|Vega:OTTMUSG00000025167
11676	Aldoc	MGI:MGI:101863|Ensembl:ENSMUSG00000017390|Vega:OTTMUSG00000000108
11677	Akr1b3	MGI:MGI:1353494|Ensembl:ENSMUSG00000001642|Vega:OTTMUSG00000014776
11682	Alk	MGI:MGI:103305|Ensembl:ENSMUSG00000055471
11684	Alox12	MGI:MGI:87998|Ensembl:ENSMUSG00000000320|Vega:OTTMUSG00000006035
11685	Alox12e	MGI:MGI:1274790|Ensembl:ENSMUSG00000018907|Vega:OTTMUSG00000006041
11686	Alox12b	MGI:MGI:1274782|Ensembl:ENSMUSG00000032807|Vega:OTTMUSG00000005964
11687	Alox15	MGI:MGI:87997|Ensembl:ENSMUSG00000018924|Vega:OTTMUSG00000006044
11688	Alox8	MGI:MGI:1098228|Ensembl:ENSMUSG00000020891|Vega:OTTMUSG00000005969
11689	Alox5	MGI:MGI:87999|Ensembl:ENSMUSG00000025701|Vega:OTTMUSG00000036516
11690	Alox5ap	MGI:MGI:107505|Ensembl:ENSMUSG00000060063|Vega:OTTMUSG00000028828
11691	alp	MGI:MGI:88000
11692	Gfer	MGI:MGI:107757|Ensembl:ENSMUSG00000040888
11694	Alx3	MGI:MGI:1277097|Ensembl:ENSMUSG00000014603|Vega:OTTMUSG00000035928
11695	Alx4	MGI:MGI:108359|Ensembl:ENSMUSG00000040310|Vega:OTTMUSG00000014563
11697	am	MGI:MGI:88001
11698	Ambn	MGI:MGI:104655|Ensembl:ENSMUSG00000029288|Vega:OTTMUSG00000055387
11699	Ambp	MGI:MGI:88002|Ensembl:ENSMUSG00000028356|Vega:OTTMUSG00000009032
11700	amd	MGI:MGI:88003
11701	Amd-ps1	MGI:MGI:1310005
11702	Amd1	MGI:MGI:88004|Ensembl:ENSMUSG00000075232|Vega:OTTMUSG00000063451
11704	Amelx	MGI:MGI:88005|Ensembl:ENSMUSG00000031354|Vega:OTTMUSG00000019595
11705	Amh	MGI:MGI:88006|Ensembl:ENSMUSG00000035262
11717	Ampd3	MGI:MGI:1096344|Ensembl:ENSMUSG00000005686|Vega:OTTMUSG00000023504
11720	Mat1a	MGI:MGI:88017|Ensembl:ENSMUSG00000037798
11722	Amy1	MGI:MGI:88019|Ensembl:ENSMUSG00000074264|Vega:OTTMUSG00000022392
11727	Ang	MGI:MGI:88022|Ensembl:ENSMUSG00000072115
11728	Ang-ps1	MGI:MGI:104986
11730	Ang3	MGI:MGI:1201793
11731	Ang2	MGI:MGI:104984|Ensembl:ENSMUSG00000047894
11732	Ank	MGI:MGI:3045421|Ensembl:ENSMUSG00000022265|Vega:OTTMUSG00000026300
11733	Ank1	MGI:MGI:88024|Ensembl:ENSMUSG00000031543|Vega:OTTMUSG00000026381
11735	Ank3	MGI:MGI:88026|Ensembl:ENSMUSG00000069601|Vega:OTTMUSG00000043361
11736	Ankfy1	MGI:MGI:1337008|Ensembl:ENSMUSG00000020790|Vega:OTTMUSG00000006114
11737	Anp32a	MGI:MGI:108447|Ensembl:ENSMUSG00000032249|Vega:OTTMUSG00000033323
11739	Slc25a4	MGI:MGI:1353495|Ensembl:ENSMUSG00000031633|Vega:OTTMUSG00000016487
11740	Slc25a5	MGI:MGI:1353496|Ensembl:ENSMUSG00000016319|Vega:OTTMUSG00000016520
11743	anx	MGI:MGI:88029
11744	Anxa11	MGI:MGI:108481|Ensembl:ENSMUSG00000021866|Vega:OTTMUSG00000019768
11745	Anxa3	MGI:MGI:1201378|Ensembl:ENSMUSG00000029484|Vega:OTTMUSG00000053295
11746	Anxa4	MGI:MGI:88030|Ensembl:ENSMUSG00000029994|Vega:OTTMUSG00000022166
11747	Anxa5	MGI:MGI:106008|Ensembl:ENSMUSG00000027712|Vega:OTTMUSG00000020273
11749	Anxa6	MGI:MGI:88255|Ensembl:ENSMUSG00000018340|Vega:OTTMUSG00000006325
11750	Anxa7	MGI:MGI:88031|Ensembl:ENSMUSG00000021814
11752	Anxa8	MGI:MGI:1201374|Ensembl:ENSMUSG00000021950|Vega:OTTMUSG00000027916
11753	ao	MGI:MGI:88033
11754	Aoc3	MGI:MGI:1306797|Ensembl:ENSMUSG00000019326|Vega:OTTMUSG00000002793
11757	Prdx3	MGI:MGI:88034|Ensembl:ENSMUSG00000024997|Vega:OTTMUSG00000021212
11758	Prdx6	MGI:MGI:894320|Ensembl:ENSMUSG00000026701|Vega:OTTMUSG00000016463
11761	Aox1	MGI:MGI:88035|Ensembl:ENSMUSG00000063558|Vega:OTTMUSG00000029784
11763	ap	MGI:MGI:88037
11764	Ap1b1	MGI:MGI:1096368|Ensembl:ENSMUSG00000009090|Vega:OTTMUSG00000005076
11765	Ap1g1	MGI:MGI:101919|Ensembl:ENSMUSG00000031731|Vega:OTTMUSG00000037661
11766	Ap1g2	MGI:MGI:1328307|Ensembl:ENSMUSG00000040701|Vega:OTTMUSG00000027952
11767	Ap1m1	MGI:MGI:102776|Ensembl:ENSMUSG00000003033|Vega:OTTMUSG00000022231
11768	Ap1m2	MGI:MGI:1336974|Ensembl:ENSMUSG00000003309|Vega:OTTMUSG00000063271
11769	Ap1s1	MGI:MGI:1098244|Ensembl:ENSMUSG00000004849|Vega:OTTMUSG00000023414
11770	Fabp4	MGI:MGI:88038|Ensembl:ENSMUSG00000062515|Vega:OTTMUSG00000051458
11771	Ap2a1	MGI:MGI:101921|Ensembl:ENSMUSG00000060279|Vega:OTTMUSG00000035384
11772	Ap2a2	MGI:MGI:101920|Ensembl:ENSMUSG00000002957|Vega:OTTMUSG00000055665
11773	Ap2m1	MGI:MGI:1298405|Ensembl:ENSMUSG00000022841|Vega:OTTMUSG00000025969
11774	Ap3b1	MGI:MGI:1333879|Ensembl:ENSMUSG00000021686
11775	Ap3b2	MGI:MGI:1100869|Ensembl:ENSMUSG00000062444|Vega:OTTMUSG00000031672
11776	Ap3d1	MGI:MGI:107734|Ensembl:ENSMUSG00000020198
11777	Ap3s1	MGI:MGI:1337062|Ensembl:ENSMUSG00000024480
11778	Ap3s2	MGI:MGI:1337060|Ensembl:ENSMUSG00000063801|Vega:OTTMUSG00000058597
11781	Ap4m1	MGI:MGI:1337063|Ensembl:ENSMUSG00000019518|Vega:OTTMUSG00000022671
11782	Ap4s1	MGI:MGI:1337065|Ensembl:ENSMUSG00000020955
11783	Apaf1	MGI:MGI:1306796|Ensembl:ENSMUSG00000019979|Vega:OTTMUSG00000027822
11784	Apba2	MGI:MGI:1261791|Ensembl:ENSMUSG00000030519|Vega:OTTMUSG00000023522
11785	Apbb1	MGI:MGI:107765|Ensembl:ENSMUSG00000037032|Vega:OTTMUSG00000048248
11787	Apbb2	MGI:MGI:108405|Ensembl:ENSMUSG00000029207|Vega:OTTMUSG00000033024
11789	Apc	MGI:MGI:88039|Ensembl:ENSMUSG00000005871|Vega:OTTMUSG00000035932
11790	Speg	MGI:MGI:109282|Ensembl:ENSMUSG00000026207|Vega:OTTMUSG00000019414
11792	Apex1	MGI:MGI:88042|Ensembl:ENSMUSG00000035960|Vega:OTTMUSG00000019767
11793	Atg5	MGI:MGI:1277186|Ensembl:ENSMUSG00000038160|Vega:OTTMUSG00000063668
11796	Birc3	MGI:MGI:1197007|Ensembl:ENSMUSG00000032000|Vega:OTTMUSG00000020585
11797	Birc2	MGI:MGI:1197009|Ensembl:ENSMUSG00000057367|Vega:OTTMUSG00000047468
11798	Xiap	MGI:MGI:107572|Ensembl:ENSMUSG00000025860|Vega:OTTMUSG00000017444
11799	Birc5	MGI:MGI:1203517|Ensembl:ENSMUSG00000017716|Vega:OTTMUSG00000003737
11800	Api5	MGI:MGI:1888993|Ensembl:ENSMUSG00000027193|Vega:OTTMUSG00000014443
11801	Cd5l	MGI:MGI:1334419|Ensembl:ENSMUSG00000015854|Vega:OTTMUSG00000051776
